album_id,album_name,album_type,artist_id,artist_name,rank_position,track_duration,track_id,track_name,track_number,track_popularity,track_type,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
0K88Nzh4Zd6ywceshg1A3B,Goddess (Remixes),ALBUM,2xe8IXgCTpwHE3eA9hTs4n,Banks,121,279909,6waHXbq4F6bKSxcvCM0nVw,Change - Chainsmokers Remix,18,43,track,0.212,0.703,279910,0.55,0.434,7,0.409,-10.836,0,0.0543,119.981,4,audio_features,0.658
1R8UYzE3cx8sZ5m8f71ZBm,Can't Let Go (feat. Emilia Ali),SINGLE,1sdnOXw9epamqw5ERPK8T5,VALNTN,122,180893,7sXg1VmdnM1Ho3aJPya5SC,Can't Let Go (feat. Emilia Ali),1,60,track,0.194,0.504,180894,0.446,1.07e-06,10,0.346,-9.127,0,0.229,129.126,4,audio_features,0.281
0GMLDEfcpWhDnBjfup2zx4,No Exit,SINGLE,1ybAN3utgdoUL1MUCtH4QM,Tennis,123,234306,7sTmKNOcJrx8wAnbXuLim1,No Exit,1,46,track,0.364,0.839,234307,0.619,0.00938,2,0.0626,-5.697,1,0.0409,128.025,4,audio_features,0.961
713bra8VewzJiffy8GOjiO,Ritual In Repeat,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,124,214960,7siA08ECLZKWOoQaA2Hjki,I'm Callin',4,30,track,0.112,0.802,214960,0.6,0.00132,1,0.0969,-6.871,0,0.0471,119.636,4,audio_features,0.969
6r7LZXAVueS5DqdrvXJJK7,Paranoid (Remastered Edition),ALBUM,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,125,168405,1Y373MqadDRtclJNdnUXVc,Paranoid - Remastered Version,2,68,track,4.52e-05,0.415,168406,0.658,0.000735,4,0.176,-12.051,0,0.0696,163.015,4,audio_features,0.45
5wM74edoHDYEhzHvkSnKeN,Everyone We Know,ALBUM,7ymhGfvQPQLHU20RovzLMJ,Thundamentals,126,231653,3V6YpdPaha4gU2z9tpGZut,Think About It,6,30,track,0.016,0.687,231653,0.925,0.00069,0,0.105,-3.634,1,0.0404,121.998,4,audio_features,0.267
13Oj0plXF7D8k1GAsd6EGT,Freak,SINGLE,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,127,160476,3YZCgdWOQcsPYLQ1pGxAfd,Freak,1,63,track,0.18,0.679,160476,0.867,0.0,11,0.667,-3.867,0,0.219,125.988,4,audio_features,0.597
6NTQnlMBfYpPhDy1sXtVRG,The 20/20 Experience - The Complete Experience,ALBUM,31TPClRtHm23RisEBtV3X7,Justin Timberlake,128,326280,6iPTSmYesQjCPWUWON2eBE,Suit & Tie,2,51,track,0.103,0.795,326280,0.596,0.0,11,0.164,-3.799,0,0.219,101.985,4,audio_features,0.357
0TGTGuc2vXv6ZECoAf52N0,Good News For People Who Love Bad News,ALBUM,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,129,208466,2lwwrWVKdf3LR9lbbhnr6R,Float On,3,73,track,0.013,0.649,208467,0.888,2.23e-06,6,0.0888,-4.807,1,0.0293,100.975,4,audio_features,0.553
5dzofMWG4wPUa5XcngV0cM,Askil,ALBUM,1IjC1jUjeLi2VXaxGT1B76,Élage Diouf,130,248053,3lrSJACaJg325VjYxNvtD6,I am a man fo constant sorrow,6,30,track,0.565,0.685,248053,0.656,0.059,10,0.0879,-7.12,0,0.034,90.019,4,audio_features,0.835
69e1Ypexj3TZ5XFumBhQwS,Second Nature,SINGLE,3VTJqPiHqHHIrx1FL7avMY,Stalking Gia,131,246609,3RaH9fxrZ541JcayzhcuzX,Second Nature,1,55,track,0.652,0.865,246610,0.548,0.0161,10,0.113,-7.379,0,0.192,109.989,4,audio_features,0.887
0ct1bK2jijAkf6IxP9B0st,Peace Is The Mission (Extended),ALBUM,738wLrAtLtCtFOLvQBXOXp,Major Lazer,132,166138,0TQ1FvC8TJ09iibSfwRP81,Light It Up - Remix,10,73,track,0.0375,0.747,166138,0.877,0.000833,9,0.233,-3.782,0,0.0664,107.991,4,audio_features,0.752
4tKnEtr3VLVp8YiVclEiEQ,These Heights,SINGLE,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,133,183069,5WHuMGV9ziKEJHxEr0dMPo,These Heights,1,66,track,0.063,0.419,183070,0.738,0.0,0,0.467,-5.873,1,0.119,120.488,4,audio_features,0.297
0n5sLhq91buJwIW4j3Ji0I,Glitterbug (Deluxe Version),ALBUM,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,134,209557,28C4nmrd7BTu0XbOmaTHZr,Greek Tragedy,3,61,track,0.00257,0.515,209558,0.869,2.01e-06,11,0.21,-4.732,1,0.0672,93.24,4,audio_features,0.452
1EpHin34dPEktSv315mwwC,Handful Of Gold,SINGLE,6ifwtjnyBErm69itobvpyn,Chela,135,251076,5P3gUg3P4k5beo2NyI02EH,Handful Of Gold,1,24,track,0.0286,0.853,251076,0.569,0.000531,7,0.0645,-5.945,1,0.0697,121.016,4,audio_features,0.665
5aMxUGbgPEewtPsil6LJfY,Forever For Now,ALBUM,0J7U24vlOOIeMpuaO6Q85A,LP,136,264266,1Z8hq9FdvgWv5T9jFMB1v2,Tokyo Sunrise,4,50,track,0.0721,0.422,264267,0.7,2.56e-05,1,0.156,-5.221,1,0.0303,159.953,4,audio_features,0.138
6ahNh15MTKTZb2IQJMnqBy,Run (Deluxe Edition - Remixes),ALBUM,11gWrKZMBsGQWmobv3oNfW,Alison Wonderland,137,294013,0bp9B38gfKhOxUx1CUu4Ph,U Don't Know - Slander Remix,1,41,track,0.113,0.404,294013,0.677,0.508,2,0.0546,-5.58,0,0.0384,82.022,4,audio_features,0.165
2ww7MYrkExsljnKhcINDse,Young the Giant (Special Edition),ALBUM,4j56EQDQu5XnL7R3E9iFJT,Young the Giant,138,249520,1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,4,70,track,0.0343,0.534,249520,0.721,6.24e-06,11,0.115,-7.307,0,0.0417,128.978,3,audio_features,0.225
2ZV63aOqkSh0l49vmvjLOn,Yours Conditionally,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,139,224093,47GzY1mRitwIHIdlgeBu00,Ladies Don't Play Guitar,4,51,track,0.388,0.676,224093,0.557,4.5e-05,7,0.0623,-5.509,0,0.0273,99.955,4,audio_features,0.661
0sf58fd9cOtyZEQgnE531s,VS. Redux,SINGLE,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,140,238481,1TJBqS7OM2xB15CX859MI7,Vipassana (Ryan Lewis Remix),1,45,track,0.562,0.751,238481,0.621,2.2e-05,9,0.333,-7.431,0,0.166,78.988,4,audio_features,0.624
6D7aoZi79qHtDsZRofZcK7,Love and War,ALBUM,647D92XNDYTUt5A0idePJ4,Fleurie,141,225346,1gzXHWAGYKbaHubERNp0Ox,Soldier,2,52,track,0.295,0.603,225347,0.299,0.00533,9,0.294,-10.816,0,0.0297,83.975,4,audio_features,0.0395
6kDCHWavDS2bNbtojhRjfJ,Reflektor (Deluxe),ALBUM,3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,142,352733,2N9hrjGIGRSAQsJIYHuTa0,Afterlife,5,39,track,0.112,0.646,352733,0.877,0.0619,11,0.249,-5.504,1,0.0404,116.022,4,audio_features,0.71
713bra8VewzJiffy8GOjiO,Ritual In Repeat,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,143,256386,2OXhJuly0KYHr4geOckoP7,Night Vision,1,28,track,0.0163,0.524,256387,0.598,1.11e-06,6,0.103,-5.54,0,0.0256,81.021,4,audio_features,0.394
20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,ALBUM,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,144,292093,2gZUPNdnz5Y45eiGxpHGSc,POWER,3,75,track,0.0178,0.538,292093,0.912,0.0,0,0.689,-4.684,0,0.129,154.042,4,audio_features,0.588
0fxUuVdG7NMeNjp0NzYyWz,Bird Song,SINGLE,5ektKXWvSR9FjUExrpg1xK,Through Juniper Vale,145,199895,3vR9ErzKELIaAQZF2l5Y7C,Bird Song,1,46,track,0.179,0.699,199896,0.61,0.00457,2,0.348,-5.186,1,0.0354,110.0,4,audio_features,0.527
7fZbotyXX1DzOuylbmfcQV,Shake It Off,SINGLE,1CmWVjnzTRTqZqdVIlZSSY,Royal Tailor,146,225333,4G6FzqKSRTFGRSamsFJF0q,Shake It Off,1,23,track,0.0646,0.532,225333,0.774,0.0,7,0.0749,-5.692,0,0.292,80.487,4,audio_features,0.943
2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),ALBUM,5WUlDfRSoLAfcVSX1WnrxN,Sia,147,224493,2ONIJ40u0Attbm3miIIpNO,Cheap Thrills,13,63,track,0.0599,0.592,224493,0.788,2.54e-06,6,0.125,-4.924,0,0.201,89.949,4,audio_features,0.755
4YEuQkWaBp1L4LQ5qrI2ys,Run,ALBUM,11gWrKZMBsGQWmobv3oNfW,Alison Wonderland,148,210017,6wb61u8ayuanWSHZzle5od,I Want U,6,59,track,0.00156,0.606,210017,0.828,5.56e-05,1,0.276,-3.423,0,0.0362,140.031,4,audio_features,0.347
1l9d1Zj9Iv2eOcdObVhdMy,Salad Days,ALBUM,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,149,145893,4keAoywVf4jxRvXU7ON0hV,Salad Days,1,67,track,0.0876,0.43,145893,0.771,0.0239,5,0.121,-7.176,1,0.0375,201.001,4,audio_features,0.772
4ymjpcGruNuUUUZOeGawLe,another eternity,ALBUM,1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,150,258556,747GlgtWBXPKiqSGQsucIM,stranger than earth,5,53,track,0.0643,0.713,258557,0.545,0.00557,6,0.176,-6.645,1,0.0559,126.063,4,audio_features,0.366
2lPYlP4eumsjz6LBG8GCbG,Run the Jewels 2,ALBUM,4RnBFZRiMLRyZy0AzzTg2C,Run The Jewels,151,201986,0rRsKefcq8XDwJTi8NgfsJ,Jeopardy,1,51,track,0.106,0.353,201987,0.703,0.0,10,0.335,-8.51,0,0.284,179.531,5,audio_features,0.452
2qpspWmRrEI8EEEXqL1O5e,Ritual In Repeat (Deluxe),ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,152,256386,6kgdqS2d9vnpieaqAW2ZWt,Night Vision,1,43,track,0.0171,0.531,256387,0.598,1.36e-06,6,0.103,-5.534,0,0.0256,81.012,4,audio_features,0.377
47riSLCeFOffFRi9BZ2eig,A Mineral Love,ALBUM,0qzzGu8qpbXYpzgV52wOFT,Bibio,153,152333,1TVd8FHpeg1Afa92kaO0kR,Petals,1,65,track,0.908,0.359,152333,0.286,0.0036,9,0.109,-10.172,0,0.0338,152.205,4,audio_features,0.229
0p1od04r7AhAYwwJa4o9hy,Nights With You (Cheat Codes Remix),SINGLE,0bdfiayQAKewqEvaU6rXCv,MØ,154,246055,2lE6CIzmQvcF7Mo3z4k9cr,Nights With You - Cheat Codes Remix,1,67,track,0.00379,0.741,246055,0.796,0.00935,1,0.54,-6.029,0,0.0575,115.971,4,audio_features,0.461
0ct1bK2jijAkf6IxP9B0st,Peace Is The Mission (Extended),ALBUM,738wLrAtLtCtFOLvQBXOXp,Major Lazer,155,176561,5bcYCYn63zNOjBv3KPOLjd,Lean On,4,54,track,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,audio_features,0.274
713bra8VewzJiffy8GOjiO,Ritual In Repeat,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,156,246560,7cSSYBYBF7L95hnRE73fCq,Timothy,6,28,track,0.0508,0.331,246560,0.785,0.00278,6,0.134,-6.017,0,0.0336,150.016,4,audio_features,0.791
